"order_year","product_key","product_name","brand","subcategory","category","number_of_goods_sold","revenue_of_goods","profit","profit_margin"
,2191,Adventure Works Floor Lamp M2150 Black,Adventure Works,Lamps,Home Appliances,,,,
,1885,Contoso Washer & Dryer 21in E210 Green,Contoso,Washers & Dryers,Home Appliances,,,,
,2190,Adventure Works Floor Lamp X1150 Black,Adventure Works,Lamps,Home Appliances,,,,
,274,Contoso Home Theater System 5.1 Channel M1530 White,Contoso,Home Theater System,TV and Video,,,,
,2193,Adventure Works Chandelier M6150 Black,Adventure Works,Lamps,Home Appliances,,,,
,2219,Adventure Works Wall Lamp E3150 Grey,Adventure Works,Lamps,Home Appliances,,,,
,2229,Adventure Works Desk Lamp E1200 Blue,Adventure Works,Lamps,Home Appliances,,,,
,2212,Adventure Works Desk Lamp E1300 Silver,Adventure Works,Lamps,Home Appliances,,,,
,2211,Adventure Works Wall Lamp E3150 Silver,Adventure Works,Lamps,Home Appliances,,,,
,2220,Adventure Works Desk Lamp E1300 Grey,Adventure Works,Lamps,Home Appliances,,,,
,2274,Proseware Wall Lamp E0215 Black,Proseware,Lamps,Home Appliances,,,,
,2214,Adventure Works Floor Lamp X1150 Grey,Adventure Works,Lamps,Home Appliances,,,,
,2277,Proseware Desk Lamp E0120 Black,Proseware,Lamps,Home Appliances,,,,
,2234,WWI Wall Lamp E215 Black,Wide World Importers,Lamps,Home Appliances,,,,
,2295,Proseware Floor Lamp M0215 Grey,Proseware,Lamps,Home Appliances,,,,
,2230,WWI Floor Lamp X115 Black,Wide World Importers,Lamps,Home Appliances,,,,
,2328,Litware Chandelier M8015 Silver,Litware,Lamps,Home Appliances,,,,
,2251,WWI Wall Lamp E315 Silver,Wide World Importers,Lamps,Home Appliances,,,,
,2343,Litware Floor Lamp M2015 Blue,Litware,Lamps,Home Appliances,,,,
,2280,Proseware Chandelier M0815 White,Proseware,Lamps,Home Appliances,,,,
,2320,Litware Chandelier M8015 White,Litware,Lamps,Home Appliances,,,,
,2282,Proseware Wall Lamp E0215 White,Proseware,Lamps,Home Appliances,,,,
,2333,Litware Desk Lamp E1020 Silver,Litware,Lamps,Home Appliances,,,,
,2330,Litware Wall Lamp E2015 Silver,Litware,Lamps,Home Appliances,,,,
,2332,Litware Desk Lamp E1030 Silver,Litware,Lamps,Home Appliances,,,,
2016,147,"Adventure Works 52"" LCD HDTV X590 White",Adventure Works,Televisions,TV and Video,37,107299.63,71749.29,0.668681
2016,148,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Televisions,TV and Video,29,84099.71,56235.93,0.668681
2016,444,WWI Desktop PC2.33 X2330 Black,Wide World Importers,Desktops,Computers,78,71682.00,47932.56,0.668683
2016,145,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Televisions,TV and Video,24,69599.76,46540.08,0.668681
2016,2105,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Water Heaters,Home Appliances,46,67850.00,45369.80,0.668677
2016,2095,Contoso Water Heater 7.2GPM X1800 Green,Contoso,Water Heaters,Home Appliances,41,60475.00,40438.30,0.668677
2016,164,"Adventure Works 52"" LCD HDTV X790W Brown",Adventure Works,Televisions,TV and Video,37,58911.40,39392.79,0.668678
2016,2085,Contoso Water Heater 7.2GPM X1800 White,Contoso,Water Heaters,Home Appliances,38,56050.00,37479.40,0.668677
2016,2100,Contoso Water Heater 7.2GPM X1800 Silver,Contoso,Water Heaters,Home Appliances,38,56050.00,37479.40,0.668677
2016,146,"Adventure Works 52"" LCD HDTV X590 Black",Adventure Works,Televisions,TV and Video,18,52199.82,34905.06,0.668681
2016,1933,Fabrikam Refrigerator 24.7CuFt X9800 Orange,Fabrikam,Refrigerators,Home Appliances,16,51199.84,34236.32,0.668680
2016,1951,Litware Refrigerator 24.7CuFt X980 Silver,Litware,Refrigerators,Home Appliances,16,51199.84,34236.32,0.668680
2016,450,WWI Desktop PC2.33 X2330 Brown,Wide World Importers,Desktops,Computers,51,46869.00,31340.52,0.668683
2016,576,Contoso Projector 1080p X981 Black,Contoso,Projectors & Screens,Computers,18,44982.00,30078.54,0.668679
2016,1827,Litware Washer & Dryer 27in L420 White,Litware,Washers & Dryers,Home Appliances,16,42432.00,28373.44,0.668680
2016,2086,Contoso Water Heater 4.3GPM M1250 White,Contoso,Water Heaters,Home Appliances,45,39487.50,21328.65,0.540136
2016,158,"Adventure Works 37"" 1080p LCD HDTV M150W Black",Adventure Works,Televisions,TV and Video,35,38499.65,20794.90,0.540132
2016,161,"Adventure Works 52"" LCD HDTV X790W Silver",Adventure Works,Televisions,TV and Video,24,38212.80,25552.08,0.668678
2016,623,WWI Projector 1080p DLP86 White,Wide World Importers,Projectors & Screens,Computers,15,37485.00,25065.45,0.668679
2016,2106,Contoso Water Heater 4.3GPM M1250 Grey,Contoso,Water Heaters,Home Appliances,42,36855.00,19906.74,0.540136
2016,163,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,Televisions,TV and Video,22,35028.40,23422.74,0.668678
2016,2090,Contoso Water Heater 7.2GPM X1800 Blue,Contoso,Water Heaters,Home Appliances,23,33925.00,22684.90,0.668677
2016,1897,Fabrikam Refrigerator 24.7CuFt X9800 White,Fabrikam,Refrigerators,Home Appliances,10,31999.90,21397.70,0.668680
2016,1969,Litware Refrigerator 24.7CuFt X980 Grey,Litware,Refrigerators,Home Appliances,10,31999.90,21397.70,0.668680
2016,149,"Adventure Works 40"" LCD HDTV M690 Silver",Adventure Works,Televisions,TV and Video,27,31994.19,21393.99,0.668683
2016,151,"Adventure Works 40"" LCD HDTV M690 White",Adventure Works,Televisions,TV and Video,27,31994.19,21393.99,0.668683
2016,2128,Contoso Coffee Maker Super-Auto 12C X1250 White,Contoso,Coffee Machines,Home Appliances,19,31350.00,20963.08,0.668678
2016,2110,Contoso Water Heater 7.2GPM X1800 Red,Contoso,Water Heaters,Home Appliances,21,30975.00,20712.30,0.668677
2016,159,"Adventure Works 37"" 1080p LCD HDTV M150W White",Adventure Works,Televisions,TV and Video,27,29699.73,16041.78,0.540132
2016,1877,Contoso Washer & Dryer 27in L270 Blue,Contoso,Washers & Dryers,Home Appliances,11,29172.00,19506.74,0.668680
2016,622,WWI Projector 1080p LCD86 White,Wide World Importers,Projectors & Screens,Computers,12,27540.00,18415.44,0.668679
2016,1228,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Camcorders,Cameras and camcorders,17,27540.00,18415.42,0.668679
2016,428,Adventure Works Desktop PC2.33 XD233 Brown,Adventure Works,Desktops,Computers,28,27132.00,18142.60,0.668679
2016,1857,NT Washer & Dryer 27in L2700 Blue,Northwind Traders,Washers & Dryers,Home Appliances,10,26529.00,17739.40,0.668679
2016,423,Adventure Works Desktop PC2.30 MD230 Black,Adventure Works,Desktops,Computers,44,26356.00,14235.76,0.540133
2016,434,Adventure Works Desktop PC2.30 MD230 White,Adventure Works,Desktops,Computers,43,25757.00,13912.22,0.540133
2016,438,WWI Desktop PC2.33 X2330 Silver,Wide World Importers,Desktops,Computers,28,25732.00,17206.56,0.668683
2016,432,Adventure Works Desktop PC1.80 ED182 Brown,Adventure Works,Desktops,Computers,50,24995.00,12252.00,0.490178
2016,1206,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey,Fabrikam,Camcorders,Cameras and camcorders,16,24960.00,16690.24,0.668679
2016,152,"Adventure Works 40"" LCD HDTV M690 Brown",Adventure Works,Televisions,TV and Video,21,24884.37,16639.77,0.668683
2016,2116,Contoso Coffee Maker Super-Auto 12C X1250 Black,Contoso,Coffee Machines,Home Appliances,15,24750.00,16549.80,0.668678
2016,138,"Adventure Works 32"" LCD HDTV M130 Black",Adventure Works,Televisions,TV and Video,49,24499.51,13232.94,0.540130
2016,150,"Adventure Works 40"" LCD HDTV M690 Black",Adventure Works,Televisions,TV and Video,20,23699.40,15847.40,0.668683
2016,451,WWI Desktop PC2.30 M2300 Silver,Wide World Importers,Desktops,Computers,42,23478.00,12681.48,0.540143
2016,2152,Adventure Works Coffee Maker Super-Auto 12C X125 White,Adventure Works,Coffee Machines,Home Appliances,14,23100.00,15446.48,0.668678
2016,157,"Adventure Works 37"" 1080p LCD HDTV M150W Silver",Adventure Works,Televisions,TV and Video,21,23099.79,12476.94,0.540132
2016,2111,Contoso Water Heater 4.3GPM M1250 Red,Contoso,Water Heaters,Home Appliances,26,22815.00,12323.22,0.540136
2016,417,Adventure Works Desktop PC2.30 MD230 Silver,Adventure Works,Desktops,Computers,38,22762.00,12294.52,0.540133
2016,421,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Desktops,Computers,48,22512.00,12159.36,0.540127
2016,1927,Fabrikam Refrigerator 24.7CuFt X9800 Grey,Fabrikam,Refrigerators,Home Appliances,7,22399.93,14978.39,0.668680
2016,162,"Adventure Works 52"" LCD HDTV X790W Black",Adventure Works,Televisions,TV and Video,14,22290.80,14905.38,0.668678
2016,2102,Contoso Water Heater 4.0GPM M1250 Silver,Contoso,Water Heaters,Home Appliances,28,22148.00,11963.00,0.540139
2016,362,Adventure Works Laptop19 X1900 Black,Adventure Works,Laptops,Computers,17,22083.00,14766.54,0.668683
2016,427,Adventure Works Desktop PC3.0 MS300 Black,Adventure Works,Desktops,Computers,47,22043.00,11906.04,0.540127
2016,160,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",Adventure Works,Televisions,TV and Video,20,21999.80,11882.80,0.540132
2016,422,Adventure Works Desktop PC2.33 XD233 Black,Adventure Works,Desktops,Computers,22,21318.00,14254.90,0.668679
2016,449,WWI Desktop PC3.0 M0300 Black,Wide World Importers,Desktops,Computers,61,21289.00,11499.11,0.540143
2016,1852,NT Washer & Dryer 27in L2700 Silver,Northwind Traders,Washers & Dryers,Home Appliances,8,21223.20,14191.52,0.668679
